NAME,COUNTY,GNIS_MATCH,GNIS_COUNT,GNIS_LAT,GNIS_LON,GNIS_SIMIL,INCORP_YR,YR_1850,YR_1860,YR_1870,YR_1880,YR_1890,YR_1900,YR_1910,YR_1920,YR_1930,YR_1940,YR_1950,YR_1960,YR_1970,YR_1980,YR_1990,YR_2000
Adin,Modoc,Adin,Modoc,41.19378000000,-120.94524500000,1.00000000000,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,Alameda,Alameda,Alameda,37.76520650000,-122.24163550000,1.00000000000,1854,0,0,0,6,11,16,23,29,35,36,64,64,71,64,76,72
Albion,Mendocino,Albion,Mendocino,39.22351170000,-123.76862510000,1.00000000000,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0
Alleghany,Sierra,Alleghany,Sierra,39.46961850000,-120.84327900000,1.00000000000,0,0,0,240,277,0,0,0,0,0,0,0,0,0,0,0,0
Alta,Placer,Alta,Placer,39.20656520000,-120.81132680000,1.00000000000,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
Altaville,Calaveras,Altaville,Calaveras,38.08381060000,-120.56186920000,1.00000000000,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
Alturas,Modoc,Alturas,Modoc,41.48711460000,-120.54245550000,1.00000000000,1901,0,0,0,148,0,0,916,979,2,2,3,3,3,3,3,3
Alvarado,Alameda,Alvarado Park,Alameda,37.59743430000,-122.07801840000,0.96250000000,0,0,0,315,364,0,0,0,0,0,0,0,0,0,0,0,0
Alviso,Santa Clara,Alviso,Santa Clara,37.42605100000,-121.97523730000,1.00000000000,0,0,0,0,141,0,0,402,517,381,677,652,1,0,0,0,0
Amador,Amador,Amador Creek,Amador,38.42463300000,-120.87299340000,0.96666666667,1915,0,0,0,824,984,0,0,377,171,249,151,202,156,136,196,196
American,Riverside,American River,Sacramento,38.59740480000,-121.50801110000,0.90059466109,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Hills,Placer,American Hill,Placer,39.14018030000,-120.58881680000,0.98042601858,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Anaheim,Orange,Anaheim,Orange,33.83529320000,-117.91450360000,1.00000000000,1878,0,0,0,833,1,1,3,6,11,11,15,104,166,219,266,328
Anderson,Shasta,Anderson,Shasta,40.44820800000,-122.29778150000,1.00000000000,0,0,293,623,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson,Mendocino,Anderson Creek,Mendocino,39.94653630000,-123.89891410000,0.96923076923,0,0,293,623,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Island,Marin,Angel Island,Marin,37.86270460000,-122.43191640000,1.00000000000,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0
Angels Camp,Calaveras,Angels Camp,Calaveras,38.06825540000,-120.53964570000,1.00000000000,1912,0,0,0,330,917,0,0,941,915,1,1,1,2,2,2,0
Antioch,Contra Costa,Antioch,Contra Costa,38.00492140000,-121.80578900000,1.00000000000,1872,0,0,0,626,635,674,1,2,4,5,11,17,28,43,62,91
Aqueduct,Amador,Los Angeles Aqueduct,Inyo,35.64245400000,-117.89423610000,0.59610389610,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
Arbuckle,Colusa,Arbuckle,Colusa,39.01739630000,-122.05774770000,1.00000000000,0,0,0,0,187,375,1,0,0,0,0,0,0,1,1,2,2
Arcata,Humboldt,Arcata,Humboldt,40.86651660000,-124.08283960000,1.00000000000,1858,0,0,0,702,962,952,1,1,2,2,4,5,9,13,15,17
Arranus,Mendocino,Mendosino Mine,Inyo,36.90187660000,-118.13676010000,0.64464161544,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn,Placer,Auburn,Placer,38.89656540000,-121.07689010000,1.00000000000,1888,0,811,800,1,2,2,2,2,3,4,5,6,7,8,11,12
Auburn & vicinity,Sutter,Auburn Ravine,Sutter,38.85267620000,-121.51690240000,0.70147368421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azusa,Los Angeles,Azusa,Los Angeles,34.13528520000,-117.91506300000,1.00000000000,1898,0,363,320,0,0,863,1,2,5,5,11,20,25,29,41,45
Bakersfield,Kern,Bakersfield,Kern,35.37329210000,-119.01871250000,1.00000000000,1898,0,0,0,801,3,5,13,19,26,29,35,57,70,106,175,247
Banning,Riverside,Banning,Riverside,33.92557130000,-116.87641030000,1.00000000000,1913,0,0,520,0,0,0,0,2,3,4,7,10,12,14,21,24
Batavia,Solano,Batavia,Solano,38.40629840000,-121.85968530000,1.00000000000,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
Bath,Placer,Bath (historical),Placer,39.03601030000,-120.79326590000,0.96470588235,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0
Beal's Bar and Dead Man's Bar,Sutter,Dead Mountains,San Bernardino,35.02777830000,-114.74885860000,0.80223111927,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beal's Bar, Forkville",Sutter,Barry Substation,Sutter,39.06933740000,-121.69052250000,0.83285292084,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Valley,Mariposa,Bear Valley,Mariposa,37.56882370000,-120.11934890000,1.00000000000,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Bear Valley,Alpine,Bear Valley,Alpine,38.46463370000,-120.03990880000,1.00000000000,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Belmont,San Mateo,Belmont,San Mateo,37.52021450000,-122.27580080000,1.00000000000,1926,0,0,0,202,0,0,0,0,984,1,6,16,24,25,24,25
Benicia,Solano,Benicia,Solano,38.04936500000,-122.15857770000,1.00000000000,1850,480,0,0,2,2,3,2,3,3,2,7,6,7,15,24,27
Benton,Mono,Benton,Mono,37.81909900000,-118.47650940000,1.00000000000,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0
Berryvale,Siskiyou,Berrydale Trailer Park,Orange,33.77307220000,-117.90450210000,0.66261590057,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
Bieber,Lassen,Bieber,Lassen,41.12127750000,-121.14413960000,1.00000000000,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
Big Meadows,Plumas,Big Creek,Plumas,39.91961180000,-121.09023630000,0.76704545455,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
Big Oak Flat,Tuolumne,Big Oak Flat,Tuolumne,37.82353910000,-120.25824560000,1.00000000000,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
Big River,Mendocino,Big River,Mendocino,39.30211910000,-123.79473670000,1.00000000000,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big River,San Bernardino,Big River,San Bernardino,34.14001590000,-114.36134250000,1.00000000000,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Shasta Valley,Siskiyou,Shasta Valley,Siskiyou,41.81514310000,-122.43557610000,0.94117647059,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
Biggs,Butte,Biggs,Butte,39.41238760000,-121.71275130000,1.00000000000,1903,0,0,0,95,571,0,403,683,463,547,784,831,1,1,2,2
Binghamton,Solano,Binghamton,Solano,38.35129980000,-121.82273880000,1.00000000000,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
Birchville,Nevada,Birchville,Nevada,39.32767010000,-121.14439960000,1.00000000000,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0
Bird Flat,Placer,P-Bar Flats,Santa Barbara,34.51471560000,-119.58985180000,0.82280067428,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
