company,address,longitude,latitude,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
A.M. INTL. INC.,1900 DUANE AVE.,-121.959755,37.380483,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
AAFCO Precision Manufacturing,"3150 Coronado Road, Santa Clara, CA",,,,Santa Clara,California,1973,,electronics assembly,,,,,
Abbott Labs,"1212 Terra Bella Ave, Mountain View, CA",-122.07898,37.408556,94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
ACCUTEST,"2680 N. 1st St., San Jose, CA",-121.929417,37.388396,95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
ACTIVISION,240 MILPITAS BLVD.,-121.897037,37.429291,95035,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
ACUREX CORP .,485 CLYDE AVE.,-122.046995,37.397956,94086,,California,1972,,,Rich's Complete Guide to Silicon Valley,,,,
ADAC Laboratories,"255 San Geronimo Way, Sunnyvale, CA",-122.013993213029,37.3803346317882,,Sunnyvale,California,1970,,nuclear medicine,,,,,
Addington Processing Lab,680 W. MAUDE AVE.,-122.033495,37.390654,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Admiral Corp.,"901 S. California Avenue, Palo Alto, CA",-122.147804225554,37.4216582841524,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Advanced Micro Devices Inc.,3340 SCOTT BLVD.,-121.981914,37.380387,95051,,California,,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Advanced Micro Devices Inc.,898 STEWART DR.,-122.006408,37.383935,94086,,California,1969,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Advanced Micro Devices Inc.,9 15 DE GUIGNE DR .,-122.023851,37.371042,94086,,California,1969,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Advanced Transformer Co,"303 Portage Ave, Palo Alto, CA",,,,,California,,,,Palo Alto City Directory 1956,,,,
Aertech Industries,970 STEWART DR .,-122.002998,37.383925,94086,Sunnyvale,California,1968,,electronics,Rich's Complete Guide to Silicon Valley,,,Moved here in 1968,
Aertech Industries,455 DE GUIGNE DR.,-122.007206,37.383245,94086,Sunnyvale,California,1958,,electronics,Rich's Complete Guide to Silicon Valley,,,Original site. Bought by TRW; bought by FEI; sold to ST Microwave.,http://www.prc68.com/I/Aertech.shtml
Aertech Industries,250 Polaris,,,,Mountain View,California,1963,,electronics,,,,Moved here in 1963,
