incl.,company,address,longitude,latitude,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed
,A.M. INTL. INC.,1900 DUANE AVE.,-121.959755,37.380483,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
no,AAFCO Precision Manufacturing,"3150 Coronado Road, Santa Clara, CA",,,,Santa Clara,California,,,electronics assembly,,,
,Abbott Labs,"1212 Terra Bella Ave, Mountain View, CA",-122.07898,37.408556,94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,
,ACCUTEST,"2680 N. 1st St., San Jose, CA",-121.929417,37.388396,95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,
,ACTIVISION,240 MILPITAS BLVD.,-121.897037,37.429291,95035,,California,,,,Rich's Complete Guide to Silicon Valley,,
,ACUREX CORP .,485 CLYDE AVE.,-122.046995,37.397956,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
no,ADAC Laboratories,"255 San Geronimo Way, Sunnyvale, CA",-122.013993213029,37.3803346317882,,Sunnyvale,California,,,nuclear medicine,,,
,Addington Processing Lab,680 W. MAUDE AVE.,-122.033495,37.390654,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Admiral Corp.,"901 S. California Avenue, Palo Alto, CA",-122.147804225554,37.4216582841524,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Advanced Micro Devices Inc.,3340 SCOTT BLVD.,-121.981914,37.380387,95051,,California,,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,
,Advanced Micro Devices Inc.,898 STEWART DR.,-122.006408,37.383935,94086,,California,,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,
,Advanced Micro Devices Inc.,9 15 DE GUIGNE DR .,-122.023851,37.371042,94086,,California,,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,
,Advanced Transformer Co,"303 Portage Ave, Palo Alto, CA",,,,,California,,,,Palo Alto City Directory 1956,,
yes,Aertech Industries,970 STEWART DR .,-122.002998,37.383925,94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,
yes,Aertech Industries,455 DE GUIGNE DR.,-122.007206,37.383245,94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,
,Alfred Electronics,"895 Commercial, Palo Alto, CA",-122.1005801,37.4228106,,Palo Alto,California,,,,,,
,Alhouse Building,"2450 El Camino Real, Palo Alto, CA",-122.1454668,37.4246547,,Palo Alto,California,,,non-industrial,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Allen Electronic Corp,"937 Industrial, Palo Alo, CA",,,,Palo Alto,California,,,,,,
,Alpar Manufacturing Corp,"220 Demelter, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,AMDAHL,2200 LAWSON LN.,-121.963261,37.375198,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Amdahl,,,,,,California,,,hardware manufacturing,,,
no,American Microsystems Inc,"19050-80 Pruneridge Ave, Cupertino, CA",,,,Cupertino,California,,,semiconductor manufacturing,,,
