cerclis_id,name,county,longitude,latitude,address,city,reason,congressional.district,proposed,listed,construction.completed,partially.deleted,deleted,notes
CAD048634059,"Advanced Micro Devices, Inc.",Santa Clara,-122.0086,37.3825,"901-902 THOMPSON PLACE, Sunnyvale, CA 94086",Sunnyvale,"VOC contamination was historically present in soil but has since been remediated to below regulatory criteria. Currently, groundwater contains various VOCs, however, institutional controls are in place to ensure that no one can ingest or come in direct contact with contaminated groundwater.",,10/15/1984,6/10/1986,9/17/1993,N/A,N/A,
CAT080034234,"Advanced Micro Devices, Inc. (Bldg. 915)",Santa Clara,-122.0066,37.3868,"915 DEGUIGNE DRIVE, SUNNYVALE, CA",Sunnyvale,"Groundwater contains various VOCs. However, the soil contaminated with organic solvents has been removed, and controls are in place to ensure that no one is drinking the contaminated groundwater or coming into contact with it.",,6/24/1988,8/30/1990,3/25/1992,N/A,N/A,
CAD042728840,Applied Materials,Santa Clara,-121.9777,37.3777,"974 East Arques Avenue, Sunnyvale, CA",Santa Clara,"Groundwater at the site is contaminated with Volatile Organic Compounds (VOCs), primarily of 1,1,1-trichloroethane (1,1,1-TCA), 1,1-dichloroethane (1,1-DCA), and 1,1-dichloroethene (1,1-DCE). In November 1983, VOCs were discovered in a monitoring well down gradient from three Underground Storage Tanks (USTs) on the west side of the large building. Site investigation began shortly after the contamination was discovered. Groundwater monitoring and extraction wells were installed and groundwater extraction began in November 1984. In January 1985, Applied Materials removed the tanks, excavated the contaminated soils, and constructed a groundwater extraction pit.",,10/15/1984,7/22/1987,9/27/1993,N/A,N/A,
CAD009212838,"CTS Printex, Inc.",Santa Clara,-122.0872,37.4165,"1911 PLYMOUTH ST., Mountain View, CA",Mountain View,"Metals and degreasing compounds (e.g., organic solvents) were discharged to soil and groundwater during CTS Printex’s manufacturing operations. Investigation and remediation, including soil excavation and groundwater extraction, were undertaken by CTS Corporation and Nearon Enterprises between 1985 and 1996. ",,6/24/1988,2/21/1990,3/31/1992,N/A,N/A,
CAD095989778,Fairchild Semiconductor Corp. (Mountain View Plant),Santa Clara,-122.0542,37.4012,"515 N. WHISMAN, Mountain View, CA",Mountain View,The primary contaminants of concern are trichloroethene (TCE) and other volatile organic compounds (VOCs). The soil has been cleaned up to meet the soil cleanup standards,14,10/15/1984,2/11/1991,8/24/1999,N/A,N/A,
CAD097012298,Fairchild Semiconductor Corp. (South San Jose Plant),Santa Clara,-121.7748,37.2326,101 BERNAL ROAD,San Jose,"Initial investigations were conducted in November/December 1981 and determined that compounds of concern (COCs) were in soil and groundwater at the Site. The investigation identified a single source: a 5,940-gallon underground waste storage tank. The COCs included 1,1,2-trichloro-1,2,2-trifluoroethane (Freon 113), 1,1,1-TCA, acetone, isopropyl alcohol, tetrachloroethene, xylenes, and 1,1-DCE, which is a degradation product of 1,1,1-TCA.",16,10/15/1984,10/4/1989,3/25/1992,N/A,N/A,
CAD980884209,Hewlett-Packard (620-640 Page Mill Road),Santa Clara,-122.1434,37.4214,620 - 640 PAGE MILL RD.,Palo Alto,"In 1981, at least 300 gallons of waste solvents leaked from an underground storage tank. The company excavated the tank and approximately 100 cubic yards of contaminated soil in 1981 and transported the materials to a hazardous waste disposal facility. Since 1982, the company has been pumping and treating contaminated groundwater from the shallow, chemically affected, aquifer. Five municipal backup supply wells draw water from a deeper aquifer located within 3 miles of the site. The nearest residential areas are located approximately 1/8 of a mile northeast of the facility.",14,6/24/1988,2/21/1990,9/16/1997,N/A,N/A,
CAD061620217,Intel Corp. (Mountain View Plant),Santa Clara,-122.0566,37.3962,365 E MIDDLEFIELD RD,Mountain View,The primary contaminants of concern are trichloroethene (TCE) and other volatile organic compounds (VOCs) in groundwater. The soil has been cleaned up to meet the soil cleanup standards.,14,10/15/1984,6/10/1986,8/24/1999,N/A,N/A,
CAT000612184,Intel Corp. (Santa Clara III),Santa Clara,-121.9717,37.3737,2880 NORTHWESTERN PKWY,Santa Clara,"Groundwater has been contaminated with volatile organic compounds (VOCs), primarily trichloroethene (TCE). Based on available information, this site is not considered to be of public health concern because of the apparent absence of people being exposed to hazardous substances. However, people could face a health risk if they accidentally ingest or come into direct contact with contaminated water.",15,10/15/1984,6/10/1986,8/18/1992,N/A,N/A,
CAD092212497,Intel Magnetics,Santa Clara,-122.0566,37.3962,3000 OAKMEAD VILLAGE DR,Santa Clara,"Monitoring wells on the site are contaminated with volatile organic compounds (VOCs), believed to have resulted from surface spills and a leak from an underground storage tank. This is one of 28 NPL sites in the South Bay Area of San Francisco. Facilities at these sites have used a variety of toxic chemicals, primarily chlorinated organic solvents, which have contaminated a common groundwater basin. Approximately 300,000 people depend on groundwater within 3 miles of the site as a source of drinking water. Twenty Santa Clara wells and four Sunnyvale wells are located within a 3-mile radius of the site.",15,10/15/1984,6/10/1986,8/19/1992,N/A,N/A,
