home,work,amount,start_latitude,start_longitude,end_latitude,end_longitude
Palo Alto,Palo Alto,740,37.442156,-122.1634472,37.442156,-122.1634472
Palo Alto,Stanford,4,37.442156,-122.1634472,37.4266268,-122.1701137024
Palo Alto,Mountain View,471,37.442156,-122.1634472,37.3855745,-122.08205
Palo Alto,Sunnyvale,330,37.442156,-122.1634472,37.3688301,-122.0363496
Palo Alto,Los Altos,215,37.442156,-122.1634472,37.3790629,-122.116578
Palo Alto,San Jose,161,37.442156,-122.1634472,37.3438502,-121.8831349
Palo Alto,Santa Clara,54,37.442156,-122.1634472,37.3544,-121.9692
Palo Alto,Campbell,20,37.442156,-122.1634472,37.28077545,-121.9497170401
Palo Alto,Cupertino,64,37.442156,-122.1634472,37.3230107,-122.0322519
Palo Alto,Monta Vista,13,37.442156,-122.1634472,37.3227199,-122.0580165
Palo Alto,Saratoga,33,37.442156,-122.1634472,37.2661735,-122.0257816371
Palo Alto,Cambrian Park,1,37.442156,-122.1634472,37.2562735851,-121.9289027508
Palo Alto,Los Gatos,21,37.442156,-122.1634472,37.2333645,-121.9472730776
Palo Alto,Monte Sereno,1,37.442156,-122.1634472,37.2394415,-121.9897466562
Palo Alto,Milpitas,2,37.442156,-122.1634472,37.43143895,-121.8852659537
Palo Alto,San Martin,1,37.442156,-122.1634472,37.08963185,-121.5944910993
Palo Alto,San Francisco,25,37.442156,-122.1634472,37.7789601,-122.419199
Palo Alto,Daly City,1,37.442156,-122.1634472,37.6884365,-122.4606879583
Palo Alto,San Bruno,1,37.442156,-122.1634472,37.6230195,-122.4289820869
Palo Alto,Burlingame,1,37.442156,-122.1634472,37.58788275,-122.3627416592
Palo Alto,San Mateo,20,37.442156,-122.1634472,37.496904,-122.3330573
Palo Alto,Belmont,9,37.442156,-122.1634472,37.516033,-122.2978617256
Palo Alto,San Carlos,35,37.442156,-122.1634472,37.4981935,-122.266157161
Palo Alto,Redwood City,148,37.442156,-122.1634472,37.4852152,-122.2363548
Palo Alto,Atherton,12,37.442156,-122.1634472,37.4613272,-122.197743
Palo Alto,Woodside,11,37.442156,-122.1634472,37.415674,-122.256608328
Palo Alto,Portola Valley,7,37.442156,-122.1634472,37.370191,-122.2258873323
Palo Alto,Menlo Park,73,37.442156,-122.1634472,37.4538274,-122.1821871
Palo Alto,Oakland,6,37.442156,-122.1634472,37.8043808,-122.2708166
Palo Alto,Orinda,1,37.442156,-122.1634472,37.8771476,-122.1796888
Palo Alto,Richmond,1,37.442156,-122.1634472,37.9357576,-122.3477486
Palo Alto,Hayward,7,37.442156,-122.1634472,37.6688205,-122.0807964
Palo Alto,San Lorenzo,1,37.442156,-122.1634472,37.673615,-122.1319300424
Palo Alto,Castro Valley,1,37.442156,-122.1634472,37.71580745,-122.0903121686
Palo Alto,Fremont,2,37.442156,-122.1634472,37.5482697,-121.9885719
Palo Alto,Livermore,1,37.442156,-122.1634472,37.6818745,-121.7680088
Palo Alto,La Honda,3,37.442156,-122.1634472,37.3191086,-122.2741352
Palo Alto,Felton,1,37.442156,-122.1634472,37.0513364,-122.0732906
Palo Alto,Mt. Hermon,1,37.442156,-122.1634472,37.0510596,-122.0585746
Palo Alto,Santa Cruz,3,37.442156,-122.1634472,36.9746099,-122.0294259
Palo Alto,Capitola,1,37.442156,-122.1634472,36.97481995,-121.9569793499
Palo Alto,Seaside,1,37.442156,-122.1634472,36.62581365,-121.8170326635
Mountain View,Palo Alto,76,37.3855745,-122.08205,37.442156,-122.1634472
Mountain View,Mountain View,145,37.3855745,-122.08205,37.3855745,-122.08205
Mountain View,Los Altos,41,37.3855745,-122.08205,37.3790629,-122.116578
Mountain View,Sunnyvale,80,37.3855745,-122.08205,37.3688301,-122.0363496
Mountain View,Cupertino,11,37.3855745,-122.08205,37.3230107,-122.0322519
Mountain View,Santa Clara,39,37.3855745,-122.08205,37.3544,-121.9692
Mountain View,San Jose,66,37.3855745,-122.08205,37.3438502,-121.8831349
Mountain View,Campbell,3,37.3855745,-122.08205,37.28077545,-121.9497170401
Mountain View,Los Gatos,5,37.3855745,-122.08205,37.2333645,-121.9472730776
Mountain View,Saratoga,2,37.3855745,-122.08205,37.2661735,-122.0257816371
Mountain View,Alviso,12,37.3855745,-122.08205,37.426051,-121.9752373
Mountain View,Milpitas,2,37.3855745,-122.08205,37.43143895,-121.8852659537
Mountain View,San Martin,1,37.3855745,-122.08205,37.08963185,-121.5944910993
Mountain View,Gilroy,2,37.3855745,-122.08205,37.0065078,-121.5631723
Mountain View,San Francisco,1,37.3855745,-122.08205,37.7789601,-122.419199
Mountain View,Brisbane,1,37.3855745,-122.08205,37.6807661,-122.3999715
Mountain View,Daly City,1,37.3855745,-122.08205,37.6884365,-122.4606879583
Mountain View,San Bruno,1,37.3855745,-122.08205,37.6230195,-122.4289820869
Mountain View,Burlingame,1,37.3855745,-122.08205,37.58788275,-122.3627416592
Mountain View,San Mateo,4,37.3855745,-122.08205,37.496904,-122.3330573
Mountain View,Hillsborough,1,37.3855745,-122.08205,37.5556339,-122.357738494
Mountain View,Belmont,2,37.3855745,-122.08205,37.516033,-122.2978617256
Mountain View,San Carlos,3,37.3855745,-122.08205,37.4981935,-122.266157161
Mountain View,Woodside,1,37.3855745,-122.08205,37.415674,-122.256608328
Mountain View,Berkeley,1,37.3855745,-122.08205,37.8708789,-122.2728247
Mountain View,Piedmont,1,37.3855745,-122.08205,37.8243715,-122.231635
Mountain View,Oakland,1,37.3855745,-122.08205,37.8043808,-122.2708166
Mountain View,Alameda,1,37.3855745,-122.08205,37.6090291,-121.899142
Mountain View,San Lorenzo,1,37.3855745,-122.08205,37.673615,-122.1319300424
Mountain View,Hayward,1,37.3855745,-122.08205,37.6688205,-122.0807964
Mountain View,Niles,1,37.3855745,-122.08205,33.7731734,-117.9453019
Mountain View,Redwood City,12,37.3855745,-122.08205,37.4852152,-122.2363548
Mountain View,Atherton,4,37.3855745,-122.08205,37.4613272,-122.197743
Mountain View,Portola Valley,1,37.3855745,-122.08205,37.370191,-122.2258873323
Mountain View,Menlo Park,34,37.3855745,-122.08205,37.4538274,-122.1821871
Mountain View,Soledad,1,37.3855745,-122.08205,36.4269452,-121.3272147
