company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
BECTON DICKINSON FACS SYSTEMS,470 LAKESIDE DR.,-121.993368,37.382649,"-121.993368, 37.382649","37.382649, -121.993368",94086,Sunnyvale,California,1897,,medicine,Rich's Complete Guide to Silicon Valley,,,,
Becton Dickinson Elect. Labs,506 Clyde Ave,-122.046995,37.398432,"-122.046995, 37.398432","37.398432, -122.046995",94043,Mountain View,California,1906,,medicine,Rich's Complete Guide to Silicon Valley,,,,
Beckman Instruments,"1117 California Avenue, Palo Alto, CA",-122.1490237,37.42035945,"-122.149023672821, 37.42035945","37.42035945, -122.149023672821",,Palo Alto,California,1935,,medicine,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Beckman Instruments Inc Systems,"256 Town and Country Village, Palo Alto, CA",,,", ",", ",,Palo Alto,California,1935,,medicine,,,,,
Beckman Instruments Inc.,950 Page Mill Rd.,-122.144941,37.419734,"-122.144941, 37.419734","37.419734, -122.144941",94304,Palo Alto,California,1935,,medicine,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corporation, 500 Broadway,,,", ",", ",94063,Redwood City,California,1944,,manufacturing,,,,,
Admiral Corp.,"901 S. California Avenue, Palo Alto, CA",-122.1478042,37.42165828,"-122.147804225554, 37.4216582841524","37.4216582841524, -122.147804225554",,Palo Alto,California,1948,,electrical engineering,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Varian Associates,"601 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,1948,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Alfred Electronics,"3176 Porter Drive, Palo Alto, CA",,,,,,Palo Alto,California,1949,,electrical equipment,"""Electronic firm moves to camps,"" Palo Alto Times, August 18, 1961",,,"Stanford University News Service SC122 Box 32 Folder 1, Stanford University Archives",
Electronic Processes Corp,"260 N. 1st, San Jose, CA",,,", ",", ",,San Jose,California,1949,,electrical equipment and supplies ,1949-50 San Jose City Directory,,,Founded unclear.,
Alfred Electronics,"895 Commercial, Palo Alto, CA",-122.1005801,37.4228106,"-122.1005801, 37.4228106","37.4228106, -122.1005801",,Palo Alto,California,1950,,manufacturing,,,,Founding date unclear,
Lewis & Kaufman Inc,"659 University Ave, Los Gatos, CA",-121.9756822,37.2375848,"-121.975682154994, 37.2375847963799","37.2375847963799, -121.975682154994",,Los Gatos,California,1952,,electrical equipment and supplies ,1952 San Jose City Directory,,,Founded unclear.,
Westinghouse Electric Corp,"Hendy Ave near Fair Oaks, Sunnyvale, CA",,,", ",", ",,Sunnyvale,California,1952,,electrical equipment and supplies ,1952 San Jose City Directory,,,Founded unclear.,
Bell Industries,2599 Garcia Ave.,-122.094604,37.426447,"-122.094604, 37.426447","37.426447, -122.094604",94043,Mountain View,California,1952,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Bell Industries…sion Metalcraft,2637 Marine Way,-122.098136,37.428882,"-122.098136, 37.428882","37.428882, -122.098136",94043,Mountain View,California,1952,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
"Metronics Associates, Inc.",,,,,,,Palo Alto,California,1953,,research and development,"""New firm studies atmosphere,"" Palo Alto Times, September 1, 1961",,,"Stanford University News Service SC122 Box 32 Folder 1, Stanford University Archives",
Alpar Manufacturing Corp,"220 Demelter, Palo Alto, CA",,,", ",", ",,Palo Alto,California,1957,,manufacturing,,,,Founding date unclear,
APPLIED TECH/ITEK,750 ARQUES AVE .,-122.013356,37.380978,"-122.013356, 37.380978","37.380978, -122.013356",94086,Sunnyvale,California,1957,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED TECH/ITEK,525 ALMANOR AVE.,-122.028853,37.396377,"-122.028853, 37.396377","37.396377, -122.028853",94086,Sunnyvale,California,1957,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Applied Technology,3410 Hillview Ave,,,", ",", ",,Palo Alto,California,1957,,manufacturing,"Deseret News, Nov. 16, 1967",,,,
Intel (Santa Clara),,,,", ",", ",,,California,1957,,manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 59.",,,,
Aertech Industries,455 DE GUIGNE DR.,-122.007206,37.383245,"-122.007206, 37.383245","37.383245, -122.007206",94086,Sunnyvale,California,1958,,manufacturing,Rich's Complete Guide to Silicon Valley,,,Original site. Bought by TRW; bought by FEI; sold to ST Microwave.,http://www.prc68.com/I/Aertech.shtml
Alco-Paramount Electronic Corp,"79 S. Third, San Jose, CA",-121.8779739,37.295279,"-121.8779739, 37.295279","37.295279, -121.8779739",,San Jose,California,1959,1983,manufacturing,1960 San Jose City Directory,,,,
Alhouse Building,"2450 El Camino Real, Palo Alto, CA",-122.1454668,37.4246547,"-122.1454668, 37.4246547","37.4246547, -122.1454668",,Palo Alto,California,1960,,non-industrial,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,Founding date unclear,
Control Data Corp.,"330 Hillview Ave, Palo Alto, CA",,,,,,Palo Alto,California,1961,,manufacturing,,,,A Minneapolis based computer manufacturer,
Spinco,"1117 California Ave, Palo Alto, CA",,,,,,Palo Alto,California,1961,,,"""Area Beckman division dedicates new plant,"" Palo Alto Times, October 30, 1961",,,"Stanford University News Service SC122 Box 32 Folder 1, Stanford University Archives",Part of Beckman Instruments
Granger Associates,"974 Commercial St, Palo Alto, CA",,,,,,Palo Alto,California,1962,,radio laboratory,"""Granger to Launch Building Program,"" Palo Alto Times, March 24, 1962",,,,
Aertech Industries,250 Polaris,,,", ",", ",,Mountain View,California,1963,,manufacturing,,,,Moved here in 1963,
American Microsystems Inc (AMI),3800 Homestead Road,-122.0649879,37.3374866,"-122.0649879, 37.3374866","37.3374866, -122.0649879",95014,Santa Clara,California,1966,1988,manufacturing,,,,Relocated to Idaho in 1988.,
APPLIED MATERIALS INC .,3400 CENTRAL EXP.,-121.991261,37.377572,"-121.991261, 37.377572","37.377572, -121.991261",95051,Santa Clara,California,1967,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED MATERIALS INC.,2940 KIFER RD.,-121.981225,37.374089,"-121.981225, 37.374089","37.374089, -121.981225",95051,Santa Clara,California,1967,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED MATERIALS INC.,3001 OAKMEAD VILLAGE DR.,-121.980423,37.375959,"-121.980423, 37.375959","37.375959, -121.980423",95051,Santa Clara,California,1967,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED MATERIALS INC.,2727 AUGUSTINE DR.,-121.976213,37.382354,"-121.976213, 37.382354","37.382354, -121.976213",95051,Santa Clara,California,1967,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Aydin Corporation,"3180 Hanover St, Palo Alto, CA",-122.1464616,37.4141881,"-122.1464616, 37.4141881","37.4141881, -122.1464616",,Palo Alto,California,1967,,telecommunications,,,,,
Aydin Energy Division,3180 Hanover St.,-122.143352,37.415343,"-122.143352, 37.415343","37.415343, -122.143352",94304,Palo Alto,California,1967,,telecommunications,Rich's Complete Guide to Silicon Valley,,,,
Aydin Systems Div. Mfg.,640 Clyde Ct.,-122.049289,37.400633,"-122.049289, 37.400633","37.400633, -122.049289",94043,Mountain View,California,1967,,telecommunications,Rich's Complete Guide to Silicon Valley,,,,
Aertech Industries,970 STEWART DR .,-122.002998,37.383925,"-122.002998, 37.383925","37.383925, -122.002998",94086,Sunnyvale,California,1968,,manufacturing,Rich's Complete Guide to Silicon Valley,,,Moved here in 1968,
Advanced Micro Devices Inc.,9 15 DE GUIGNE DR .,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,1969,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Advanced Micro Devices Inc.,898 STEWART DR.,-122.006408,37.383935,"-122.006408, 37.383935","37.383935, -122.006408",94086,Sunnyvale,California,1969,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
AMDAHL,2200 LAWSON LN.,-121.963261,37.375198,"-121.963261, 37.375198","37.375198, -121.963261",95050,Santa Clara,California,1970,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
ADAC Laboratories,"255 San Geronimo Way, Sunnyvale, CA",-122.0139932,37.38033463,"-122.013993213029, 37.3803346317882","37.3803346317882, -122.013993213029",,Sunnyvale,California,1970,,medicine,,,,,
B.N.R. Inc.,685 E. Middlefield Rd.,-122.07431,37.38802,"-122.07431, 37.38802","37.38802, -122.07431",94042,Mountain View,California,1971,,research and development,Rich's Complete Guide to Silicon Valley,,,,
ACUREX CORP .,485 CLYDE AVE.,-122.046995,37.397956,"-122.046995, 37.397956","37.397956, -122.046995",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Antekna Inc.,625 Clyde Ct.,-122.047279,37.400697,"-122.047279, 37.400697","37.400697, -122.047279",94043,Mountain View,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
ATARI,790 SYCAMORE DR .,-121.919173,37.40761,"-121.919173, 37.40761","37.40761, -121.919173",95035,Milpitas,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
ATARI,715 SYCAMORE DR.,-121.916618,37.408677,"-121.916618, 37.408677","37.408677, -121.916618",95035,Milpitas,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
ATARI,2710 N. 1ST ST.,-121.929896,37.389031,"-121.929896, 37.389031","37.389031, -121.929896",95131,San Jose,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
