company,address,longitude,latitude,source,notes
Solvent Service,"1021 Berryessa Road, San Jose, CA",-121.885442915649,37.3642824379675,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
IBM,"5600 Cottle Road, San Jose, CA",-121.8035009,37.2533441,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Fairchild,"101 Bernal Road, San Jose, CA",-121.773375701014,37.2308352507004,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Van Waters & Rogers,"2254 Junction Avenue, San Jose, CA",-121.915823,37.386155,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Pacific Nursery,"1015 Martin Avenue, San Jose, CA",-121.914667,37.3299447,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
National Semiconductor,"2900 Semiconductor Drive, Santa Clara, CA",-121.999004,37.375686,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Magnes Corp,"6850 Santa Teresa Boulevard, San Jose, CA",-121.786513453649,37.2327446676552,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Technical Coatings,"1000 Walsh Avenue, San Jose, CA",,,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Westinghouse,"401 E. Handy Avenue, Sunnyvale, CA",,,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
"Aventek, Inc","3175 Bowers Avenue, Santa Clara, CA",-121.977699118258,37.3784667121751,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Lorentz Barrel and Drum,"1515 S. 10th St., San Jose, CA",-121.8653433615,37.3194518521009,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
TRW,"825 Stewart Drive, Sunnyvale, CA",-122.012335094468,37.383588120953,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Applied Materials,"3050 Bowers Avenue, Santa Clara, CA",-121.977864818507,37.3763257140337,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Signetics Corp,"811 e. Arques Avenue, Sunnyvale, CA",-122.010549409276,37.38215335,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Memories Corp,"1200 Memories Drive, Santa Clara, CA",,,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Hewlett-Packard,"974 E. Arques Avenue, Sunnyvale, CA",-122.0031149,37.3802809,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
Xidex,"305 Soquel Way, Sunnyvale, CA",-122.034470769581,37.3851128269012,"""Threats to Drinking Water Supplies,"" San Jose Mercury, February 14, 1985",
